organism	gene	coverage_min	identity_min	depth_min
Escherichia coli	stx	90	90	10
Escherichia coli	wzx	90	90	10
Escherichia coli	wzy	90	90	10
Escherichia coli	wzt	90	90	10
Escherichia coli	wzm	90	90	10
Escherichia coli	fliC	90	90	10
Escherichia coli	fli	90	90	10
Escherichia coli	eae	90	90	10
Escherichia coli	ehxA	90	90	10
Escherichia coli	other	98	98	10
Clostridioides difficile	tcdA	90	90	10
Clostridioides difficile	tcdB	90	90	10
Clostridioides difficile	tcdC	90	90	10
Clostridioides difficile	cdtAB	90	90	10
Clostridioides difficile	other	98	98	10